fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.0,0.01,0.01037,0.80148,0.001,3.26468,0.68497,8.03531,0.51826,1.50629,0.0,0.6521,0.50731,0.00123,0.12663,0.54202,1e-05,0.00047,0.0005,0.54854,0.00285,0.44885,0.00158,0.01133,0.00089,8
0.0,0.00728,0.01212,0.8717,0.00089,2.72804,0.81857,8.21404,0.64705,1.40254,0.01837,0.60648,0.47171,0.0019,0.14529,0.48784,0.00204,0.00059,0.0,0.48873,0.00933,0.85195,0.00923,0.00026,0.00101,10
0.0,0.01,0.01046,0.92678,0.00048,2.83758,0.65548,8.96292,0.62412,1.41359,0.02157,0.82458,0.38963,0.00172,0.08337,0.56192,0.00121,0.00077,0.00049,0.45557,0.00463,1.0,0.00075,0.01874,0.0007,8
0.0,0.00713,0.01094,0.76143,0.00073,3.50796,0.70528,8.12208,0.52761,1.11475,0.0164,0.81808,0.45137,0.0,0.15462,0.55878,0.0,0.00038,0.0,0.54973,0.00905,1.0,0.00266,0.01677,0.0001,10
0.0,0.00805,0.01,0.84922,4e-05,2.47856,0.78901,9.6326,0.54928,1.21855,0.00754,0.9,0.44014,0.00063,0.06488,0.44574,0.00213,0.00073,0.00016,0.3971,0.00101,0.52982,8e-05,0.00052,0.00132,10
0.0,0.00737,0.01189,0.91124,0.00034,2.92277,0.92701,8.13525,0.53243,0.80483,0.01038,0.58249,0.51125,0.00083,0.09265,0.82271,4e-05,0.0,0.01624,0.63873,0.00498,0.96498,0.01318,0.02929,0.0,10
0.0,0.00569,0.0141,0.86312,9e-05,3.1367,0.79387,6.48751,0.4307,1.05556,0.00259,0.75699,0.46853,0.00158,0.04535,0.52736,0.0,0.00069,0.0,0.33885,0.00064,0.63588,0.01549,0.02069,0.00049,10
0.0,0.00772,0.01123,0.76951,0.00073,4.00233,0.73246,8.86954,0.52613,1.37713,0.01471,0.9,0.4249,0.00064,0.06024,0.49993,0.0,0.00086,0.0,0.59019,0.01096,1.0,0.0,0.00712,0.00098,8
0.0,0.00898,0.01,0.93024,0.00065,3.04364,0.78297,6.15777,0.54335,1.66347,0.00849,0.81385,0.42795,0.00077,0.09928,0.50611,0.0014,0.0,0.0,0.4873,0.0001,1.0,0.0,0.01296,0.0,9
0.0,0.00734,0.01104,0.85755,0.001,3.02414,0.79979,5.99854,0.56714,1.07805,0.01413,0.6735,0.35069,0.00119,0.08153,0.53786,0.0003,0.00085,0.00034,0.57364,0.00893,0.7018,0.0088,0.00078,0.00106,10
0.0,0.00773,0.01049,0.92324,0.00047,2.96813,0.80172,10.8419,0.42349,1.34404,0.01737,0.67702,0.35308,0.00058,0.05983,0.6218,0.00167,0.001,0.00055,0.39175,0.00809,0.95434,0.00046,0.02192,0.0,10
0.0,0.01,0.01081,0.9631,0.00091,3.18198,0.69697,9.6315,0.43397,1.08933,0.00784,0.9,0.45977,0.0002,0.08352,0.57688,0.00017,0.00095,1e-05,0.45581,0.00445,0.93037,0.0,0.00401,0.00033,9
0.0,0.0082,0.01,0.95299,0.00059,3.70684,0.72074,7.25725,0.57355,1.21437,0.01546,0.54041,0.38174,0.00032,0.0701,0.62222,0.00135,0.0,0.0003,0.48346,0.00858,0.72148,0.00476,0.01342,0.00064,9
0.0,0.00696,0.01075,0.96008,0.00075,3.00009,0.82141,10.35686,0.59019,1.0012,0.01736,0.67099,0.53741,0.00055,0.11766,0.62785,0.00083,0.00041,0.00221,0.58773,0.0,0.74885,0.00116,0.02132,0.00071,10
0.0,0.00951,0.01,0.78532,0.0003,3.63758,0.69204,9.60555,0.54489,1.54163,0.00049,0.8717,0.51461,0.00022,0.09431,0.59129,0.00117,0.00079,0.00053,0.43204,0.00889,1.0,0.00853,0.02135,0.0016,10
0.0,0.01,0.01114,0.78538,0.00048,3.4536,0.76179,5.91864,0.70362,2.06671,0.01464,0.686,0.5652,0.0,0.11306,0.71746,0.0,0.00093,0.0,0.59569,0.01058,0.65341,0.00167,0.02214,0.00023,9
0.0,0.0043,0.01,0.73422,0.00058,3.08227,0.91333,9.69601,0.48772,1.3564,0.01495,0.73789,0.46024,0.00187,0.08793,0.4921,0.00174,0.001,0.0,0.46749,0.00586,0.95637,0.01294,0.01276,0.0,10
0.0,0.00881,0.01104,0.94802,0.001,2.8861,0.62028,8.04726,0.40407,1.33336,0.00024,0.83031,0.61768,0.00158,0.11835,0.74228,0.00189,0.00079,0.00013,0.48625,0.00496,0.98901,0.00129,0.01313,0.00122,9
0.0,0.00679,0.01,0.87947,0.001,3.07742,0.80868,15.25301,0.57698,0.76814,0.00301,0.73007,0.29682,0.0,0.0838,0.91025,0.0014,0.00089,0.01015,0.34876,0.00486,0.66346,0.01064,0.01525,0.00062,10
0.0,0.006,0.01228,0.96209,0.00065,3.58347,0.70931,8.30671,0.53996,1.36124,0.01716,0.85849,0.49343,0.00077,0.0889,0.56264,0.0,0.00084,0.00054,0.40829,0.00428,1.0,0.00445,0.00863,0.00127,8
0.0,0.00579,0.01,0.88616,0.0,3.18255,0.56745,6.73509,0.51352,1.30757,0.0,0.9,0.47482,0.00175,0.05675,0.60731,0.00106,0.00088,0.00023,0.32507,0.00109,0.86419,0.01389,0.0193,0.00094,10
0.0,0.01,0.01228,0.86338,0.00087,2.84164,0.70671,9.26342,0.56741,1.58745,0.00184,0.84365,0.49265,0.00204,0.10341,0.61615,0.0,0.001,0.0,0.35285,0.00462,1.0,0.01058,0.01798,0.0,9
